bgg_id,name,year,game_type,designer,artist,publisher,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,category,mechanic,cooperative,compilation,compilation_of,family,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id
,Across Suez,,,,,"Simulations Publications, Inc.,Simulations Publications,シミュレーションズ・パブリケイションズ",,,,,,,,,,,,,,,,,,,,,,,,,,,Across_Suez,,,Q4676463,Across_Suez
,Action Aboard: Adventures on the King Richard,1981,,"William S. Paley,ويليام صامويل بالي,Пейли, Уильям (журналист),Вільям С. Пейлі,威廉·佩利",,"FASA,FASA Corporation",,,,,,,,,,,,,,,,,,,,,,,,,,,Action_Aboard:_Adventures_on_the_King_Richard,,,,Action_Aboard:_Adventures_on_the_King_Richard
,Active Exploits,2002,,,,Precis Intermedia Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,Active_Exploits,,,Q4677504,Active_Exploits
,Adrenalyn XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adrenalyn_XL,,,Q4684734,Adrenalyn_XL
29341,Adugo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adugo,,,Q4685865,Adugo
,Advance to Boardwalk,,,,,"Winning Moves,Parker Brothers,Parker (éditeur),パーカー・ブラザーズ,파커 브라더스",,,,,,,,,,,,,,,,,,,,,,,,,,,Advance_to_Boardwalk,,,Q4686107,Advance_to_Boardwalk
,Advanced Civilization,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced_Civilization,,,Q4686147,Advanced_Civilization
,Advanced Fighting Fantasy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced_Fighting_Fantasy,,,,Advanced_Fighting_Fantasy
,Advanced HeroQuest,,,,,"Games Workshop,ゲームズワークショップ,게임 워크숍",1,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced_HeroQuest,,,Q3605863,Advanced_HeroQuest
15126,Advanced Squad Leader,1985,,"Don Greenwood (game designer),Don Greenwood",,"Multi-Man Publishing,Avalon Hill,マルチマン・パブリッシング,アバロンヒル",2,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced_Squad_Leader,,,Q379731,Advanced_Squad_Leader
,Advanced Third Reich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced_Third_Reich,,,Q4686314,Advanced_Third_Reich
,Adventure!,2001,,"Robert Hatch,Ken Cliffe",,"White Wolf Publishing,White Wolf, Inc,White Wolf,화이트 울프 퍼블리싱",,,,,,,,,,,,,,,,,,,,,,,,,,,Adventure!,,,Q2825388,Adventure!
,"Adventure Class Ships, Vol. I",1981,,Jordan Weisman,,"FASA,FASA Corporation",,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure_Class_Ships,_Vol._I",,,,"Adventure_Class_Ships,_Vol._I"
,Adventure Fold-Up Figures,,,,,"TSR, Inc.,Tactical Studies Rules,TSR (entreprise),TSR (ゲーム出版社),TSR (公司)",,,,,,,,,,,,,,,,,,,,,,,,,,,Adventure_Fold-Up_Figures,,,,Adventure_Fold-Up_Figures
,Adventure board game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adventure_board_game,,,Q4686556,Adventure_board_game
,Adventurers of the North - Kalevala Heroes,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adventurers_of_the_North_-_Kalevala_Heroes,,,Q6460537,Adventurers_of_the_North_-_Kalevala_Heroes
