bgg_id,name,year,game_type,designer,artist,publisher,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,category,mechanic,cooperative,compilation,compilation_of,family,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id
,Star Wars X-Wing: TIE Phantom,,,,,"id,name,url,num_games,score,game,images",2,2,,,,,14,,24,120,"v4SfYtS2Lr,Sod2YBWMKi",,,,,,,,,7,3.857142857142857,,,,,wGtBhHDdiC,,,,,
,Legend of the Five Rings CCG: Samurai Edition Core Set 2.0 Banzai Dragon Clan Starter Deck,,,,,"id,name,url,num_games,score,game,images",,,,,,,,,,,"eX8uuNlQkQ,vXxLT0FDTZ",,,,,,,,,,,,,,,wKRztPAfTy,,,,,
,Uno: Pinkalicious,2010,,,,"name,id,url,num_games,score,game,images",2,10,,,,,7,,,,"eX8uuNlQkQ,HKaYVNIxAJ",,,,,,,,,,,,,,,wRBB3qDDSW,,,,,
,Star Wars X-Wing: Z-95 Headhunter,,,,,"id,name,url,num_games,score,game,images",2,2,,,,,14,,24,120,"v4SfYtS2Lr,Sod2YBWMKi",,,,,,,,,8,3.625,,,,,wRZmEQgbs9,,,,,
,Deathwatch: Overkill,2016,,,,"name,id,url,num_games,score,game,images",2,2,,,,,,,60,60,,"R0bGq4cAl4,U3zhCQH7Et,XM2FYZmBHH",,,,,,,,1,4.0,,,,,wdA026yQOd,,,,,
,Star Wars: Legion - Phase I Clone Troopers Upgrade Expansion,2019,,"id,num_games,score,game,url,images",,"id,name,url,num_games,score,game,images",2,2,,,,,14,,60,120,"v4SfYtS2Lr,Sod2YBWMKi",,,,,,,,,,,,,,,whIYGwMfCi,,,,,
,Scene It? FIFA World Cup Edition,2006,,,,"name,id,url,num_games,score,game,images",,,,,,,,,,,hShsL2DktG,,,,,,,,,,,,,,,wkEsuD7Yp7,,,,,
,Marvel Dice Masters: The Uncanny X-Men Collector's Box,,,,,"id,name,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,3,3.3333333333333335,,,,,wlsf9g6zyv,,,,,
,Warfighter: WWII Expansion 59 - Battle of Tarawa,2020,,,,"name,id,url,num_games,score,game,images",1,6,,,,,,,30,30,"eX8uuNlQkQ,v4SfYtS2Lr,jX8asGGR6o,fl3TogdUzX",,,,,,,,,,,,,,,wnmHzvNO9Q,,,,,
,The Ancient Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wozQKiCYCv,,,,,
,The Stygian Library: Remastered,,,,,,,,,,,,,,,,rrvd68LjOR,,,,,,,,,,,,,,,wqoQOP3FxL,,,,,
,Purple (Translucent) Acrylic Gems (Large),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wztajAzguS,,,,,
,The Big Idea,2011,,"id,num_games,score,game,url,images",,"id,name,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,5,2.6,,,,,x7DdcRXAJL,,,,,
,Disaster on K2,,,,,"id,name,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,1,3.0,,,,,xBTemiFrFJ,,,,,
,Street Fighter: Chun Li v Ryu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xJV5wnrG7D,,,,,
,Lords of Hellas: City of Steel - 6th Player Expansion,,,,,,1,6,,,,,14,,60,90,v4SfYtS2Lr,,,,,,,,,,,,,,,xU0i5lYu7M,,,,,
,Ghost Stories: Black Secret Expansion,2011,,"id,num_games,score,game,url,images",,"id,name,url,num_games,score,game,images",2,5,,,,,12,,90,102,v4SfYtS2Lr,,,,,,,,,1,4.0,,,,,xcYATeKtCX,,,,,
,Warfighter: WWII Expansion 20 - France 1,2019,,,,"name,id,url,num_games,score,game,images",1,6,,,,,,,30,90,"eX8uuNlQkQ,v4SfYtS2Lr,jX8asGGR6o,fl3TogdUzX",,,,,,,,,,,,,,,xijhxFoh7w,,,,,
,Claustrophobia De Profundis,,,,,"id,name,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,7,3.714285714285714,,,,,xm96R8J40F,,,,,
,Scotsman - Character Meeple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xqaQ4roDsW,,,,,
,PQ-17: Arctic Naval Operations 1941-1943,,,,,"id,name,url,num_games,score,game,images",2,2,,,,,12,,210,240,,,,,,,,,,,,,,,,xtuM24HEHP,,,,,
,A Game of Thrones: The Card Game - Dreadfort Betrayal Chapter Pack,,,,,"id,name,url,num_games,score,game,images",2,2,,,,,14,,60,60,,,,,,,,,,1,2.0,,,,,xxWglXC5qS,,,,,
,Descent: Journeys in the Dark Second Edition - Splig Lieutenant Pack,2013,,,,"id,name,url,num_games,score,game,images",2,5,,,,,14,,120,240,v4SfYtS2Lr,,,,,,,,,3,3.3333333333333335,,,,,y4wV1FR4UJ,,,,,
,Star Wars: Imperial Assault – General Weiss Villain Pack,2015,,,,"id,name,url,num_games,score,game,images",2,5,,,,,14,,120,240,,,,,,,,,,2,4.0,,,,,y6vnyW6mIu,,,,,
,Character Meeples: Wedding Favor Sets - Pair with red heart (19mm),,,,,"name,id,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,,,,,,,y7iyKYK7LS,,,,,
,Lords of Waterdeep: Scoundrels of Skullport - Upgraded Skull Set (25 pcs),,,,,"name,id,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,,,,,,,yCTvpydcI3,,,,,
,Munchkin: Card Sleeves - Door & Treasure Cards,,,,,"name,id,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,,,,,,,yG1hOvJsYH,,,,,
,The Barons' War: Miniatures,,,,,,,,,,,,,,,,"rrvd68LjOR,FC6ElKI9tk",,,,,,,,,,,,,,,yIrumh5NBQ,,,,,
,Just Desserts: Better with Bacon,2017,,"id,num_games,score,game,url,images",,"id,name,url,num_games,score,game,images",2,5,,,,,8,,20,30,"v4SfYtS2Lr,YrDuNj8lvr",,,,,,,,,1,3.0,,,,,yLn6xbMHEW,,,,,
,Krosmaster: Arena - Duel Pack 1 - Merkator & Captain Amakna,2013,,,,"name,id,url,num_games,score,game,images",2,2,,,,,10,,10,10,,,,,,,,,,,,,,,,yeUIodDCQg,,,,,
,KeyForge: Call of The Archons - Martian Madness Playmat,,,,,"name,id,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,,,,,,,yrWPfYPLr7,,,,,
,Stone Age: Character Meeples (50-Piece Set),,,,,"name,id,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,,,,,,,yurUQJg8aS,,,,,
,Character Meeple: Yellow Mom/Teacher,,,,,"name,id,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,,,,,,,z9QgfAjNGU,,,,,
,A Game of Thrones: The Card Game (Second Edition) - The Queen of Thorns Playmat,,,,,"id,name,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,,,,,,,zIDRefuW1H,,,,,
,Protogamer Cards,,,,,,,,,,,,,,,,rrvd68LjOR,,,,,,,,,,,,,,,zKgQFFMHEE,,,,,
,Marvel Champions: The Card Game - Iron Man Playmat,,,,,"name,id,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,,,,,,,zMTPsCgJqx,,,,,
,Terraforming Mars: Foam Insert,,,,,"id,num_games,score,game,url,images",,,,,,,,,,,rrvd68LjOR,,,,,,,,,,,,,,,zSmYcP2Uoy,,,,,
,Swords & Sails: Coins - Seven Player Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zXZ77TyEg8,,,,,
,Colt Express: Character Meeple -Marshal,,,,,"id,num_games,score,game,url,images",,,,,,,,,,,,,,,,,,,,,,,,,,zbGYE1HpvU,,,,,
,PotzKlotz,2003,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,6,,,,,7,,30,30,,9YdRn9J9oZ,,,,,,,,,,,,,,zk8mGsguqw,,,,,
,Der Weltkrieg: The Eastern Front 1914-1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zkfCA7NXEg,,,,,
,"Box Bands 6"" (Set of 5)",,,,,"name,id,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,,,,,,,zlQ8l23tNm,,,,,
,Pitchstorm: Animation,2019,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",3,12,,,,,14,,15,30,"eX8uuNlQkQ,v4SfYtS2Lr",,,,,,,,,,,,,,,znvR1ICl21,,,,,
,Character Meeple: Spartan,,,,,"name,id,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,,,,,,,zvYeJ8gyXx,,,,,
